Ticker,Date/Time,Open,High,Low,Close
VTA,12/31/2013,2.10,2.80,2.00,2.40
VTA,1/27/2014,2.20,3.30,2.10,3.10
VTA,2/28/2014,3.10,3.90,2.90,3.90
VTA,3/31/2014,4.20,4.50,3.20,4.50
VTA,4/29/2014,4.50,6.10,3.80,4.40
VTA,5/30/2014,4.00,4.10,2.40,3.70
VTA,6/30/2014,3.40,4.20,3.30,3.80
VTA,7/31/2014,3.80,4.30,3.60,3.70
VTA,8/29/2014,3.70,4.40,3.60,4.30
VTA,9/30/2014,4.40,6.10,4.40,5.60
VTA,10/31/2014,5.50,6.80,5.20,6.00
VTA,11/28/2014,6.10,6.70,5.40,6.00
VTA,12/31/2014,6.00,6.40,5.50,6.20
VTA,1/30/2015,6.20,6.80,5.60,6.00
VTA,2/27/2015,6.30,6.30,5.20,6.00
VTA,3/31/2015,5.80,6.20,5.40,6.00
VTA,4/27/2015,6.00,6.10,5.50,5.90
VTA,5/29/2015,5.90,6.20,5.10,6.10
VTA,6/30/2015,6.50,6.90,5.70,6.00
VTA,7/31/2015,6.10,6.80,5.50,6.40
VTA,8/31/2015,6.40,8.50,5.60,6.30
VTA,9/30/2015,5.60,6.40,5.40,6.00
VTA,10/30/2015,6.00,7.30,6.00,6.70
VTA,11/30/2015,7.10,7.80,6.90,6.90
VTA,12/31/2015,6.90,7.10,6.10,6.70
VTA,1/29/2016,6.70,6.70,5.10,5.70
VTA,2/29/2016,5.60,5.90,5.00,5.50
VTA,3/31/2016,5.50,9.20,5.00,7.40
VTA,4/29/2016,6.70,7.60,5.40,6.20
VTA,5/31/2016,6.20,6.80,6.00,6.70
VTA,6/30/2016,6.80,8.60,6.40,7.30
VTA,7/29/2016,7.30,8.30,7.10,8.00
VTA,8/31/2016,8.30,8.90,7.20,7.60
VTA,9/30/2016,7.60,8.50,6.90,7.20
VTA,10/31/2016,7.10,7.50,6.80,6.90
VTA,11/30/2016,6.90,7.00,5.70,6.00
VTA,12/30/2016,6.00,6.10,5.10,5.90
VTA,1/25/2017,5.80,6.60,5.70,5.90
VTA,2/28/2017,5.80,5.80,5.40,5.80
VTA,3/31/2017,5.70,7.00,5.60,6.00
VTA,4/28/2017,6.00,6.50,5.80,6.00
VTA,5/31/2017,5.90,6.10,5.80,5.90
VTA,6/30/2017,5.10,6.10,5.00,5.20
VTA,7/31/2017,5.30,5.80,5.00,5.80
VTA,8/31/2017,5.80,6.30,5.80,6.20
VTA,9/29/2017,6.20,7.60,6.10,7.20
VTA,10/31/2017,7.20,10.10,6.40,7.40
VTA,11/30/2017,7.40,9.00,7.20,8.40
VTA,12/29/2017,8.00,8.50,7.20,8.20
VTA,1/31/2018,8.50,8.60,6.50,7.20
VTA,3/30/2018,8.50,8.50,5.60,6.60
VTA,4/27/2018,7.20,8.50,7.20,7.50
VTA,5/31/2018,7.50,7.50,5.70,6.50
VTA,6/29/2018,6.50,7.80,5.70,7.80
VTA,8/31/2018,7.80,7.80,5.50,6.90
VTA,9/28/2018,6.90,6.90,5.90,5.90
VTA,10/31/2018,5.90,6.00,5.60,5.60
VTA,11/30/2018,5.60,6.30,5.10,5.40
VTA,12/21/2018,5.40,6.10,5.00,5.40
VTB,1/31/2013,4.52,5.57,4.40,5.32
VTB,2/28/2013,5.45,5.70,4.62,5.00
VTB,3/29/2013,4.68,5.25,4.68,5.25
VTB,4/26/2013,5.31,5.32,4.81,5.19
VTB,5/31/2013,5.19,6.71,5.19,6.64
VTB,6/28/2013,6.64,7.40,6.45,6.71
VTB,7/31/2013,6.45,7.16,6.20,6.45
VTB,8/30/2013,6.26,6.52,5.22,5.48
VTB,9/30/2013,5.42,6.71,5.29,6.71
VTB,10/31/2013,6.26,6.90,5.55,5.94
VTB,11/29/2013,5.55,7.55,5.23,6.77
VTB,12/31/2013,7.09,7.87,6.38,7.55
VTB,1/27/2014,7.55,7.80,6.52,7.42
VTB,2/28/2014,7.74,8.32,6.77,8.26
VTB,3/31/2014,8.26,8.68,7.20,8.01
VTB,4/29/2014,7.94,8.07,6.93,7.74
VTB,5/30/2014,7.74,8.14,6.80,7.33
VTB,6/30/2014,7.54,7.54,6.57,7.33
VTB,7/31/2014,7.33,7.81,6.79,7.33
VTB,8/29/2014,7.33,7.62,6.99,7.40
VTB,9/30/2014,7.33,8.24,7.06,7.89
VTB,10/31/2014,7.89,9.34,7.41,8.86
VTB,11/28/2014,9.00,9.28,7.68,8.30
VTB,12/31/2014,8.30,9.00,7.61,8.79
VTB,1/30/2015,8.79,9.00,8.03,8.93
VTB,2/27/2015,9.00,9.00,8.16,8.86
VTB,3/31/2015,8.31,9.13,7.61,8.58
VTB,4/27/2015,8.16,9.07,7.75,8.86
VTB,5/29/2015,8.31,10.16,8.31,10.09
VTB,6/30/2015,10.61,10.61,8.60,9.72
VTB,7/31/2015,9.27,11.22,9.05,9.80
VTB,8/31/2015,10.10,10.77,8.30,9.42
VTB,9/30/2015,8.82,9.87,8.52,9.50
VTB,10/30/2015,9.43,11.22,8.67,10.47
VTB,11/30/2015,10.47,11.82,9.13,9.65
VTB,12/31/2015,8.98,10.31,8.67,9.72
VTB,1/29/2016,9.12,10.09,8.97,9.94
VTB,2/29/2016,9.94,10.46,9.27,9.94
VTB,3/31/2016,9.27,10.84,8.75,9.57
VTB,4/29/2016,9.72,11.22,8.97,10.32
VTB,5/31/2016,10.32,11.07,9.35,11.07
VTB,6/30/2016,10.32,11.82,10.09,11.26
VTB,7/29/2016,11.26,11.58,9.65,10.69
VTB,8/31/2016,10.69,11.18,9.81,10.69
VTB,9/30/2016,10.69,11.01,9.17,9.85
VTB,10/31/2016,9.93,10.05,8.88,9.41
VTB,11/30/2016,9.49,11.82,8.92,11.82
VTB,12/30/2016,11.82,11.98,9.33,10.29
VTB,1/25/2017,10.29,11.49,9.33,11.34
VTB,2/28/2017,11.42,13.02,10.29,12.66
VTB,3/31/2017,12.70,15.27,10.66,13.83
VTB,4/28/2017,14.15,14.55,12.76,13.76
VTB,5/31/2017,13.76,14.21,13.12,13.99
VTB,6/30/2017,13.49,16.13,13.26,16.13
VTB,7/31/2017,16.13,20.04,15.49,17.27
VTB,8/31/2017,16.40,18.04,15.17,16.54
VTB,9/29/2017,15.63,16.81,14.22,14.76
VTB,10/31/2017,15.72,16.31,13.85,15.90
VTB,11/30/2017,14.81,16.40,14.07,15.22
VTB,12/29/2017,15.22,18.13,14.01,17.37
VTB,1/31/2018,17.47,18.04,15.35,16.60
VTB,2/28/2018,16.31,17.27,14.01,16.74
VTB,3/30/2018,15.64,18.76,15.40,17.13
VTB,4/27/2018,16.70,19.19,15.78,17.27
VTB,5/31/2018,17.27,19.19,14.77,17.75
VTB,6/29/2018,16.79,17.80,15.40,17.40
VTB,7/31/2018,18.55,18.55,14.15,15.80
VTB,8/31/2018,14.90,15.90,13.85,15.70
VTB,9/28/2018,14.75,16.00,14.20,15.30
VTB,10/31/2018,15.30,15.50,13.55,14.85
VTB,11/30/2018,15.70,17.00,14.05,16.10
VTB,12/21/2018,15.00,18.70,15.00,17.10
VTE,6/29/2018,10.54,10.54,2.90,3.00
VTE,7/31/2018,2.71,2.71,1.94,2.42
VTE,8/31/2018,2.42,3.77,2.42,3.77
VTE,10/31/2018,4.93,5.80,4.93,5.80
VTI,11/29/2013,3.90,4.60,3.90,4.60
VTI,12/31/2013,4.60,5.00,4.60,5.00
VTI,1/27/2014,5.00,5.00,5.00,5.00
VTI,3/31/2014,6.40,8.40,6.40,8.40
VTI,4/29/2014,9.20,9.20,7.20,7.20
VTI,5/30/2014,7.90,8.60,6.80,6.90
VTI,6/30/2014,6.90,12.00,6.40,12.00
VTI,7/31/2014,9.30,14.00,5.90,5.90
VTI,9/30/2014,6.30,8.40,6.30,6.50
VTI,10/31/2014,7.20,7.20,6.20,6.20
VTI,11/28/2014,6.20,7.40,6.20,7.40
VTI,12/31/2014,7.40,8.10,6.60,7.20
VTI,1/30/2015,7.20,9.10,6.80,8.90
VTI,2/27/2015,8.90,12.70,8.90,11.60
VTI,4/27/2015,11.60,11.60,5.60,5.70
VTI,5/29/2015,5.70,8.80,5.30,8.00
VTI,6/30/2015,8.00,9.40,6.60,6.60
VTI,7/31/2015,6.60,6.60,3.90,4.90
VTI,8/31/2015,4.90,5.90,4.10,4.30
VTI,9/30/2015,4.30,4.70,4.20,4.70
VTI,10/30/2015,4.70,4.70,4.20,4.70
VTI,11/30/2015,4.70,6.70,4.70,4.80
VTI,12/31/2015,4.10,4.50,2.30,4.50
VTI,3/31/2016,7.90,8.60,4.30,5.10
VTI,4/29/2016,5.10,6.40,5.10,6.40
VTI,5/31/2016,5.50,5.50,2.50,3.20
VTI,10/31/2016,1.20,1.20,1.10,1.20
VTI,11/30/2016,1.20,1.80,1.20,1.80
VTI,12/30/2016,1.80,2.50,1.80,2.50
VTI,5/31/2017,2.70,2.70,2.30,2.30
VTI,6/30/2017,2.30,2.30,1.90,1.90
VTI,12/29/2017,2.70,3.10,2.70,3.10
VTI,1/31/2018,3.10,3.10,2.70,2.70
VTI,2/28/2018,2.70,2.70,2.50,2.50
VTI,8/31/2018,2.80,3.20,2.80,3.20
VTI,9/28/2018,3.20,3.60,3.20,3.60
VTI,10/31/2018,3.60,5.30,3.60,5.30
VTI,11/30/2018,5.30,6.90,5.30,6.90
VTH,10/31/2014,12.71,15.32,12.71,15.32
